a-j-minter                   1 621345
teoscar-hernandez            0 606192
thomas-harrington            1 802419
thomas-saggese               0 695336
tim-anderson                 0 641313
tim-herrin                   1 682120
tim-hill                     1 657612
tim-mayza                    1 641835
tim-tawa                     0 694374
tj-friedl                    0 670770
tomas-nido                   0 621512
tommy-edman                  0 669242
tommy-kahnle                 1 592454
tommy-pham                   0 502054
tomoyuki-sugano              1 608372
tony-santillan               1 663574
travis-d-arnaud              0 518595
travis-jankowski             0 608671
trea-turner                  0 607208
trent-grisham                0 663757
trent-thornton               1 663423
trevor-larnach               0 663616
trevor-megill                1 656730
trevor-story                 0 596115
trevor-williams              1 592866
trey-sweeney                 0 700242
triston-casas                0 671213
triston-mckenzie             1 663474
troy-taylor                  1 700187
tsung-che-cheng              0 691907
ty-france                    0 664034
tyler-alexander              1 641302
tyler-anderson               1 542881
tyler-ferguson               1 621053
tyler-fitzgerald             0 666149
tyler-freeman                0 671289
tyler-gilbert                1 656457
tyler-glasnow                1 607192
tyler-heineman               0 623168
tyler-holton                 1 663947
tyler-kinley                 1 641755
tyler-mahle                  1 641816
tyler-o-neill                0 641933
tyler-phillips               1 663969
tyler-rogers                 1 643511
tyler-soderstrom             0 691016
tyler-tolbert                0 686475
tyler-wade                   0 642180
tylor-megill                 1 656731
tyrone-taylor                0 621438
valente-bellozo              1 678368
victor-caratini              0 605170
victor-robles                0 645302
victor-scott-ii              0 687363
victor-vodnik                1 680767
vidal-brujan                 0 660644
vinnie-pasquantino           0 686469
vinny-capra                  0 681962
vladimir-guerrero-jr         0 665489
walker-buehler               1 621111
wandy-peralta                1 593974
will-benson                  0 666181
will-smith                   0 669257
will-vest                    1 676684
will-wagner                  0 695238
will-warren                  1 701542
willi-castro                 0 650489
william-contreras            0 661388
willson-contreras            0 575929
willy-adames                 0 642715
wilmer-flores                0 527038
wilyer-abreu                 0 677800
wyatt-langford               0 694671
xander-bogaerts              0 593428
xavier-edwards               0 669364
xzavion-curry                1 675540
yainer-diaz                  0 673237
yandy-diaz                   0 650490
yariel-rodriguez             1 684320
yennier-cano                 1 666974
yimi-garcia                  1 554340
yoan-moncada                 0 660162
yoendrys-gomez               1 672782
yohel-pozo                   0 650968
yordan-alvarez               0 670541
yoshinobu-yamamoto           1 808967
yuki-matsui                  1 673513
yuli-gurriel                 0 493329
yusei-kikuchi                1 579328
zac-gallen                   1 668678
zac-veen                     0 691728
zach-dezenzo                 0 701305
zach-eflin                   1 621107
zach-mckinstry               0 656716
zach-thompson                1 605507
zack-kelly                   1 677161
zack-littell                 1 641793
zack-wheeler                 1 554430
